Hotel Name,Location,Tarrif,Ratings,Number of reviews,Website
Atrium Inn,High Point,$84,4.1/5,(123 reviews),https://www.expedia.com/Greensboro-Hotels-Atrium-Inn.h1584875.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730128&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=84&top_cur=USD&semdtl=&selectedRoomType=178111&selectedRatePlan=417251
La Quinta Inn & Suites by Wyndham Greensboro Arpt High Point,Greensboro,$114,4.5/5,(243 reviews),https://www.expedia.com/Greensboro-Hotels-La-Quinta-Inn-Suites-By-Wyndham-Greensboro-Arpt-High-Point.h30073392.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730129&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=114&top_cur=USD&semdtl=&selectedRoomType=219326762&selectedRatePlan=282175785
Holiday Inn Greensboro Coliseum,Greensboro,$108,4.5/5,(692 reviews),https://www.expedia.com/Greensboro-Hotels-Holiday-Inn-Greensboro-Coliseum.h10070.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730131&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=108&top_cur=USD&semdtl=&selectedRoomType=200922033&selectedRatePlan=381003826
Hawthorn Suites by Wyndham Greensboro,Greensboro,$71,4.0/5,(888 reviews),https://www.expedia.com/Greensboro-Hotels-Hawthorn-Suites-By-Wyndham-Greensboro.h151317.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730134&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=71&top_cur=USD&semdtl=&selectedRoomType=200196660&selectedRatePlan=201126832
"Country Inn & Suites by Radisson, Burlington (Elon), NC",Burlington,$96,4.5/5,(870 reviews),https://www.expedia.com/Greensboro-Hotels-Country-Inn-Suites-By-Radisson.h79275.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730136&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=96&top_cur=USD&semdtl=&selectedRoomType=210028162&selectedRatePlan=220250244
Hyatt Place Greensboro/Downtown,Downtown Greensboro,$179,4.5/5,(231 reviews),https://www.expedia.com/Greensboro-Hotels-Hyatt-Place-GreensboroDowntown.h31708841.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730138&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&neighborhoodId=6347865&sort=RECOMMENDED&top_dp=179&top_cur=USD&semdtl=&selectedRoomType=214522917&selectedRatePlan=250216534
Dailey Renewal Retreat Bed & Breakfast,Lindley Park,$90,4.4/5,(69 reviews),https://www.expedia.com/Greensboro-Hotels-Dailey-Renewal-Retreat-Bed-Breakfast.h3979281.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730140&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&neighborhoodId=553248635976474774&sort=RECOMMENDED&top_dp=90&top_cur=USD&semdtl=&selectedRoomType=210901061&selectedRatePlan=226171931
Drury Inn & Suites Burlington,Burlington,$105,4.8/5,(911 reviews),https://www.expedia.com/Greensboro-Hotels-Drury-Inn-Suites-Burlington.h13372208.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730142&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=105&top_cur=USD&semdtl=&selectedRoomType=314005074&selectedRatePlan=380033939
Wingate by Wyndham - Greensboro,Greensboro,$78,4.5/5,"(1,002 reviews)",https://www.expedia.com/Greensboro-Hotels-Wingate-By-Wyndham-Greensboro.h565784.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730144&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=78&top_cur=USD&semdtl=&selectedRoomType=69923&selectedRatePlan=1114991
La Quinta Inn & Suites by Wyndham Greensboro Arpt High Point,Greensboro,$114,4.5/5,(243 reviews),https://www.expedia.com/Greensboro-Hotels-La-Quinta-Inn-Suites-By-Wyndham-Greensboro-Arpt-High-Point.h30073392.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730147&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=114&top_cur=USD&semdtl=&selectedRoomType=219326762&selectedRatePlan=282175785
